full_time;mid_price
-2_0;2000.0
-2_100;2000.0
-2_200;1998.5
-2_300;1998.5
-2_400;1998.0
-2_500;1999.5
-2_600;1999.0
-2_700;2000.5
-2_800;2002.5
-2_900;2000.0
-2_1000;2000.0
-2_1100;2000.0
-2_1200;2000.0
-2_1300;2000.0
-2_1400;1997.0
-2_1500;1998.5
-2_1600;1999.0
-2_1700;1999.0
-2_1800;1998.0
-2_1900;2001.5
-2_2000;2000.0
-2_2100;2001.5
-2_2200;2000.5
-2_2300;1999.5
-2_2400;2000.5
-2_2500;2001.0
-2_2600;2001.5
-2_2700;2001.0
-2_2800;2001.5
-2_2900;2002.5
-2_3000;2002.5
-2_3100;2002.5
-2_3200;2000.5
-2_3300;2000.5
-2_3400;2001.5
-2_3500;2001.5
-2_3600;2002.0
-2_3700;2001.5
-2_3800;2002.5
-2_3900;2000.0
-2_4000;2001.5
-2_4100;2000.0
-2_4200;2000.5
-2_4300;2000.5
-2_4400;1999.0
-2_4500;1999.5
-2_4600;2000.0
-2_4700;1997.5
-2_4800;1999.5
-2_4900;1998.5
-2_5000;1997.5
-2_5100;1999.0
-2_5200;1999.5
-2_5300;1999.5
-2_5400;2000.5
-2_5500;2001.5
-2_5600;2001.0
-2_5700;1997.5
-2_5800;1997.5
-2_5900;1997.0
-2_6000;1996.5
-2_6100;1997.0
-2_6200;1997.5
-2_6300;1999.0
-2_6400;1999.5
-2_6500;2001.5
-2_6600;2001.0
-2_6700;2002.5
-2_6800;2003.5
-2_6900;2002.5
-2_7000;2000.0
-2_7100;1999.5
-2_7200;2001.5
-2_7300;2001.5
-2_7400;2004.0
-2_7500;2004.5
-2_7600;2004.5
-2_7700;2003.5
-2_7800;2005.0
-2_7900;2005.5
-2_8000;2004.5
-2_8100;2003.5
-2_8200;2003.0
-2_8300;2003.0
-2_8400;2003.5
-2_8500;2002.5
-2_8600;2004.5
-2_8700;2005.0
-2_8800;2004.5
-2_8900;2003.5
-2_9000;2003.0
-2_9100;2004.0
-2_9200;2003.5
-2_9300;2005.0
-2_9400;2003.0
-2_9500;2002.5
-2_9600;2003.0
-2_9700;2002.5
-2_9800;2003.5
-2_9900;2003.0
-2_10000;2003.5
-2_10100;2004.5
-2_10200;2005.0
-2_10300;2006.5
-2_10400;2005.5
-2_10500;2006.0
-2_10600;2005.0
-2_10700;2005.5
-2_10800;2004.5
-2_10900;2005.5
-2_11000;2005.5
-2_11100;2005.5
-2_11200;2004.5
-2_11300;2004.5
-2_11400;2004.0
-2_11500;2004.5
-2_11600;2003.5
-2_11700;2004.5
-2_11800;2005.0
-2_11900;2005.5
-2_12000;2004.5
-2_12100;2004.5
-2_12200;2002.5
-2_12300;2003.5
-2_12400;2002.5
-2_12500;2003.5
-2_12600;2002.0
-2_12700;2003.5
-2_12800;2003.0
-2_12900;2003.5
-2_13000;2002.5
-2_13100;2000.0
-2_13200;1997.0
-2_13300;1997.5
-2_13400;1997.0
-2_13500;1998.0
-2_13600;2000.0
-2_13700;1997.0
-2_13800;1996.5
-2_13900;1997.5
-2_14000;1999.0
-2_14100;1999.5
-2_14200;1996.5
-2_14300;1995.5
-2_14400;1996.5
-2_14500;1997.5
-2_14600;1997.5
-2_14700;1998.0
-2_14800;1997.5
-2_14900;1999.5
-2_15000;1999.5
-2_15100;1999.0
-2_15200;1999.5
-2_15300;1998.5
-2_15400;1997.5
-2_15500;1998.0
-2_15600;2000.5
-2_15700;1999.0
-2_15800;1999.5
-2_15900;1998.5
-2_16000;1997.0
-2_16100;1997.5
-2_16200;1997.0
-2_16300;1996.5
-2_16400;1994.5
-2_16500;1995.5
-2_16600;1996.0
-2_16700;1996.0
-2_16800;1995.5
-2_16900;1995.5
-2_17000;1995.0
-2_17100;1995.0
-2_17200;1995.5
-2_17300;1996.5
-2_17400;1997.0
-2_17500;1997.0
-2_17600;1996.0
-2_17700;1995.5
-2_17800;1996.5
-2_17900;1995.5
-2_18000;1996.0
-2_18100;1995.5
-2_18200;1995.5
-2_18300;1994.0
-2_18400;1995.0
-2_18500;1994.0
-2_18600;1994.5
-2_18700;1996.0
-2_18800;1995.5
-2_18900;1995.0
-2_19000;1996.5
-2_19100;1995.0
-2_19200;1994.5
-2_19300;1995.5
-2_19400;1995.0
-2_19500;1995.5
-2_19600;1996.5
-2_19700;1996.5
-2_19800;1996.5
-2_19900;1996.5
-2_20000;1996.0
-2_20100;1995.0
-2_20200;1996.5
-2_20300;1996.5
-2_20400;1995.0
-2_20500;1994.0
-2_20600;1995.5
-2_20700;1996.5
-2_20800;1996.5
-2_20900;1995.0
-2_21000;1993.5
-2_21100;1993.5
-2_21200;1992.5
-2_21300;1993.5
-2_21400;1992.0
-2_21500;1993.5
-2_21600;1992.0
-2_21700;1991.5
-2_21800;1992.0
-2_21900;1992.0
-2_22000;1992.0
-2_22100;1993.5
-2_22200;1993.0
-2_22300;1991.5
-2_22400;1995.5
-2_22500;1995.5
-2_22600;1995.0
-2_22700;1995.5
-2_22800;1995.5
-2_22900;1994.5
-2_23000;1995.5
-2_23100;1995.0
-2_23200;1996.5
-2_23300;1997.0
-2_23400;1996.0
-2_23500;1995.5
-2_23600;1996.0
-2_23700;1996.0
-2_23800;1995.5
-2_23900;1994.0
-2_24000;1994.5
-2_24100;1994.5
-2_24200;1993.0
-2_24300;1994.0
-2_24400;1993.5
-2_24500;1994.5
-2_24600;1992.5
-2_24700;1991.0
-2_24800;1991.0
-2_24900;1990.5
-2_25000;1991.0
-2_25100;1992.5
-2_25200;1990.5
-2_25300;1992.0
-2_25400;1994.5
-2_25500;1993.5
-2_25600;1992.0
-2_25700;1993.5
-2_25800;1993.5
-2_25900;1992.0
-2_26000;1993.5
-2_26100;1993.0
-2_26200;1992.5
-2_26300;1993.0
-2_26400;1993.0
-2_26500;1992.5
-2_26600;1993.5
-2_26700;1995.5
-2_26800;1996.5
-2_26900;1995.5
-2_27000;1993.5
-2_27100;1993.0
-2_27200;1992.0
-2_27300;1993.0
-2_27400;1992.5
-2_27500;1993.5
-2_27600;1993.0
-2_27700;1994.0
-2_27800;1994.5
-2_27900;1993.5
-2_28000;1994.5
-2_28100;1993.5
-2_28200;1995.5
-2_28300;1993.0
-2_28400;1994.0
-2_28500;1994.0
-2_28600;1993.5
-2_28700;1994.5
-2_28800;1995.5
-2_28900;1994.5
-2_29000;1993.5
-2_29100;1993.5
-2_29200;1994.5
-2_29300;1994.5
-2_29400;1993.0
-2_29500;1991.5
-2_29600;1992.0
-2_29700;1991.5
-2_29800;1990.5
-2_29900;1990.0
-2_30000;1988.5
-2_30100;1988.0
-2_30200;1987.5
-2_30300;1988.5
-2_30400;1987.5
-2_30500;1987.0
-2_30600;1987.0
-2_30700;1987.0
-2_30800;1986.0
-2_30900;1985.5
-2_31000;1985.5
-2_31100;1986.0
-2_31200;1984.0
-2_31300;1984.5
-2_31400;1984.5
-2_31500;1984.5
-2_31600;1984.5
-2_31700;1984.5
-2_31800;1985.5
-2_31900;1985.5
-2_32000;1987.0
-2_32100;1987.0
-2_32200;1987.5
-2_32300;1988.5
-2_32400;1989.0
-2_32500;1990.0
-2_32600;1991.0
-2_32700;1993.0
-2_32800;1989.5
-2_32900;1990.5
-2_33000;1991.5
-2_33100;1992.5
-2_33200;1992.5
-2_33300;1990.5
-2_33400;1991.5
-2_33500;1992.0
-2_33600;1991.5
-2_33700;1992.5
-2_33800;1994.5
-2_33900;1995.5
-2_34000;1996.0
-2_34100;1993.5
-2_34200;1994.0
-2_34300;1994.5
-2_34400;1995.5
-2_34500;1994.5
-2_34600;1993.5
-2_34700;1993.5
-2_34800;1992.0
-2_34900;1992.0
-2_35000;1992.5
-2_35100;1993.0
-2_35200;1992.0
-2_35300;1994.5
-2_35400;1994.5
-2_35500;1992.5
-2_35600;1991.5
-2_35700;1991.5
-2_35800;1992.5
-2_35900;1992.0
-2_36000;1992.5
-2_36100;1992.5
-2_36200;1991.5
-2_36300;1990.5
-2_36400;1992.5
-2_36500;1992.0
-2_36600;1993.0
-2_36700;1993.0
-2_36800;1992.0
-2_36900;1991.0
-2_37000;1990.5
-2_37100;1991.0
-2_37200;1991.5
-2_37300;1991.5
-2_37400;1992.0
-2_37500;1992.5
-2_37600;1992.5
-2_37700;1993.5
-2_37800;1991.0
-2_37900;1991.5
